Time,Body Position (x),Body Position (y),Body Position (z),Head Position (x),Head Position (y),Head Position (z),Region (Color),
0,1.407062,0.33,-1.248237,1.407062,1.88,-1.248237,Pink Floor,
0.25,1.407062,0.3299999,-1.248237,1.407062,1.88,-1.248237,Pink Floor,
0.5,1.407062,0.3299999,-1.248237,1.407062,1.88,-1.248237,Pink Floor,
0.75,1.407062,0.3299999,-1.248237,1.407062,1.88,-1.248237,Pink Floor,
1,1.407062,0.3299999,-1.248237,1.407062,1.88,-1.248237,Pink Floor,
1.25,1.452084,0.33,-0.8919058,1.452084,1.88,-0.8919058,Pink Floor,
1.5,1.134222,0.3299998,-0.3870887,1.134222,1.88,-0.3870887,Hallway,
1.75,0.5623073,0.3299999,0.1345854,0.5623073,1.88,0.1345854,Hallway,
2,0.360258,0.33,0.8695456,0.360258,1.88,0.8695456,Hallway,
2.25,0.350765,0.33,1.648762,0.350765,1.88,1.648762,Hallway,
2.5,0.4779965,0.3300001,2.342341,0.4779965,1.88,2.342341,Blue Floor,
2.75,1.197801,0.3299999,2.438184,1.197801,1.88,2.438184,Blue Floor,
3,1.869529,0.3299999,2.438184,1.869529,1.88,2.438184,Blue Floor,
3.25,2.635787,0.3299999,2.446507,2.635787,1.88,2.446507,Blue Floor,
3.5,3.403316,0.3299999,2.342398,3.403316,1.88,2.342398,Blue Floor,
3.75,3.902963,0.3299999,1.843181,3.902963,1.88,1.843181,Blue Floor,
4,4.182623,0.3299998,1.11779,4.182623,1.88,1.11779,Blue Floor,
4.25,4.163595,0.3299999,0.4167177,4.163595,1.88,0.4167177,Blue Floor,
4.5,3.472786,0.3299998,0.1776816,3.472786,1.88,0.1776816,Hallway,
4.75,2.772918,0.3299999,0.3301049,2.772918,1.88,0.3301049,Hallway,
5,2.003253,0.3299999,0.3391429,2.003253,1.88,0.3391429,Hallway,
5.25,1.288885,0.3299999,0.3408052,1.288885,1.88,0.3408052,Hallway,
5.5,0.5135084,0.3299999,0.3539382,0.5135084,1.88,0.3539382,Hallway,
5.75,-0.2632571,0.3299999,0.4246286,-0.2632571,1.88,0.4246286,Hallway,
6,-0.8938981,0.3299998,0.3377967,-0.8938981,1.88,0.3377967,Hallway,
6.25,-1.669181,0.3299998,0.2544161,-1.669181,1.88,0.2544161,Hallway,
6.5,-2.370735,0.3299998,0.09362821,-2.370735,1.88,0.09362821,Hallway,
6.75,-3.003196,0.3299998,-0.3143469,-3.003196,1.88,-0.3143469,Hallway,
7,-3.334046,0.33,-0.8415983,-3.334046,1.88,-0.8415983,Green Floor,
7.25,-3.483713,0.33,-1.545437,-3.483713,1.88,-1.545437,Green Floor,
7.5,-3.515589,0.3299999,-1.722593,-3.515589,1.88,-1.722593,Green Floor,
7.75,-3.38387,0.33,-1.014771,-3.38387,1.88,-1.014771,Green Floor,
8,-3.736432,0.3299998,-0.5417569,-3.736432,1.88,-0.5417569,Green Floor,
8.25,-4.009974,0.3299997,-0.3077177,-4.009974,1.88,-0.3077177,Hallway,
8.5,-4.009974,0.3299997,-0.3077177,-4.009974,1.88,-0.3077177,Hallway,
8.75,-4.009974,0.3299997,-0.3077177,-4.009974,1.88,-0.3077177,Hallway,
9,-4.083769,0.3299999,-0.3866174,-4.083769,1.88,-0.3866174,Hallway,
9.25,-4.257105,0.3299997,-0.3866175,-4.257105,1.88,-0.3866175,Hallway,
9.5,-4.055333,0.3299998,-0.434508,-4.055333,1.88,-0.434508,Hallway,
9.75,-3.956438,0.3299997,-0.5024766,-3.956438,1.88,-0.5024766,Green Floor,
